매장명,주소,구
청담역,서울특별시 강남구 삼성로 709 (청담동)1522-3232,강남구
압구정현대아파트,서울특별시 강남구 논현로175길 38 (신사동)1522-3232,강남구
강남청담빌딩,서울특별시 강남구 선릉로 704 (청담동)1522-3232,강남구
역삼이마트,서울특별시 강남구 역삼로 310 (역삼동)1522-3232,강남구
강남세곡DT,서울특별시 강남구 헌릉로 727 (세곡동)1522-3232,강남구
미아뉴타운,서울특별시 강북구 삼양로 161 (미아동)1522-3232,강북구
강북구청사거리,서울특별시 강북구 도봉로 365 (수유동)1522-3232,강북구
미아사거리역,서울특별시 강북구 도봉로 32 (미아동)1522-3232,강북구
수유역,서울특별시 강북구 도봉로 342 (번동)1522-3232,강북구
미아역,서울특별시 강북구 도봉로 196 (미아동)1522-3232,강북구
수유역5번출구,"서울특별시 강북구 도봉로 315 (수유동, 에피소드 수유 838)1522-3232",강북구
파라스파라서울,서울특별시 강북구 삼양로 689 (우이동) 파라스파라서울 지하1층1522-3232,강북구
발산역사거리,서울특별시 강서구 공항대로 248 (마곡동)1522-3232,강서구
마곡역,서울특별시 강서구 공항대로 168 (마곡동)1522-3232,강서구
우장산역,서울특별시 강서구 강서로 267 (내발산동)1522-3232,강서구
마곡사이언스타워R,서울특별시 강서구 마곡동로 62 (마곡동)1522-3232,강서구
방화DT,서울특별시 강서구 방화대로 375 (방화동)1522-3232,강서구
마곡나루역,서울특별시 강서구 마곡중앙로 161-17 (마곡동)1522-3232,강서구
마곡GMG,"서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호1522-3232",강서구
가양역,서울특별시 강서구 양천로 476 (등촌동)1522-3232,강서구
화곡DT,서울특별시 강서구 등촌로 57 (화곡동)1522-3232,강서구
양천향교역,서울특별시 강서구 강서로 463 (마곡동)1522-3232,강서구
화곡동,서울특별시 강서구 화곡로 142(화곡동)1522-3232,강서구
등촌,서울특별시 강서구 공항대로 329 (등촌동)1522-3232,강서구
염창역,서울특별시 강서구 공항대로 627 (염창동)1522-3232,강서구
발산역,서울특별시 강서구 강서로 388 (등촌동) 그랜드마트1522-3232,강서구
까치산역,서울특별시 강서구 강서로13길 3 (화곡동)1522-3232,강서구
염창대로,"서울특별시 강서구 양천로 744 (염창동), 101호1522-3232",강서구
발산역5번출구,"서울특별시 강서구 강서로52길 43 (내발산동, DH647), 1층 일부1522-3232",강서구
화곡역8번출구,"서울특별시 강서구 강서로 179 (화곡동), 1층 일부1522-3232",강서구
강서우장산,"서울특별시 강서구 강서로 231 (화곡동, 우장산역 해링턴 타워), 116/117/118/119/120호1522-3232",강서구
등촌대로,"서울특별시 강서구 공항대로 543 (염창동, 센터스퀘어)1522-3232",강서구
가양역사거리,"서울특별시 강서구 화곡로 416 (등촌동) 가양더스카이벨리5차 지식산업센터 101, 102, 114,~117호1522-3232",강서구
내발산,"서울특별시 강서구 강서로 323 (내발산동), 101/102호1522-3232",강서구
마곡웰튼,"서울특별시 강서구 마곡중앙5로 22 (마곡동), 104/105/106호1522-3232",강서구
김포공항DT,서울특별시 강서구 개화동로 517 (방화동)1522-3232,강서구
강서NC,서울특별시 강서구 강서로56길 17 (등촌동)1522-3232,강서구
마곡나루공원,서울특별시 강서구 마곡중앙5로 47 (마곡동)1522-3232,강서구
송정역,"서울특별시 강서구 공항대로 38 (공항동), 1층 일부1522-3232",강서구
강서구청사거리,서울특별시 강서구 화곡로 350 (화곡동)1522-3232,강서구
낙성대역,서울특별시 관악구 남부순환로 1908 (봉천동)1522-3232,관악구
관악서울대입구R,서울특별시 관악구 관악로 158 (봉천동)1522-3232,관악구
신림DT,서울특별시 관악구 남부순환로 1419 (신림동)1522-3232,관악구
서울대역,서울특별시 관악구 남부순환로 1817 (봉천동)1522-3232,관악구
낙성대DT,서울특별시 관악구 남부순환로 1948 (봉천동)1522-3232,관악구
사당,서울특별시 관악구 남부순환로 2082-251522-3232,관악구
보라매대교,서울특별시 관악구 보라매로3길 23 (봉천동) 1층1522-3232,관악구
신림,서울특별시 관악구 신림로 355-1 (신림동)1522-3232,관악구
신림타임스트림,서울특별시 관악구 신림로 330 타임스트림 1층1522-3232,관악구
서울대입구역,서울특별시 관악구 남부순환로 1812 (봉천동)1522-3232,관악구
서울대입구역8번출구,서울특별시 관악구 남부순환로 1831 (봉천동)1522-3232,관악구
봉천역,서울특별시 관악구 남부순환로 1730 (봉천동)1522-3232,관악구
봉천현대시장,"서울특별시 관악구 은천로 118 (봉천동), 1층 일부1522-3232",관악구
건국대,서울특별시 광진구 능동로 117 (화양동)1522-3232,광진구
어린이대공원역,서울특별시 광진구 능동로 243 (군자동)1522-3232,광진구
아차산역,서울특별시 광진구 천호대로 676 (구의동)1522-3232,광진구
올림픽대교북단,서울특별시 광진구 광나루로 608 (구의동)1522-3232,광진구
구의DT,서울특별시 광진구 광나루로 519 (구의동)1522-3232,광진구
자양사거리,서울특별시 광진구 아차산로 3551522-3232,광진구
군자역,서울특별시 광진구 천호대로 548 (군자동) 중앙빌딩1522-3232,광진구
광나루,"서울특별시 광진구 아차산로 607, 1,2층 (광장동)1522-3232",광진구
건대스타시티,서울특별시 광진구 아차산로 262 (자양동)1522-3232,광진구
건대입구,서울특별시 광진구 능동로 107 (화양동)1522-3232,광진구
구의역,서울특별시 광진구 아차산로 373 (구의동)1522-3232,광진구
광장,서울특별시 광진구 아차산로 537-17 (광장동)1522-3232,광진구
건국클래식,서울특별시 광진구 능동로 90 (자양동) 더 클래식5001522-3232,광진구
건대후문,서울특별시 광진구 능동로 172 (화양동)1522-3232,광진구
중곡역,"서울특별시 광진구 능동로 400 (중곡동) 1층 108,109,110,111,112,118 6개호실1522-3232",광진구
자양이마트,서울특별시 광진구 아차산로 272 (자양동) 지하1층1522-3232,광진구
자양역,"서울특별시 광진구 능동로 18 (자양동, 이튼타워리버3차)1522-3232",광진구
화양삼거리,서울특별시 광진구 광나루로 374 (화양동)1522-3232,광진구
군자사거리,서울특별시 광진구 천호대로 549 (중곡동) 1층1522-3232,광진구
금천구청역,"서울특별시 금천구 시흥대로73길 67 (시흥동), 엠메디컬타워 1층1522-3232",금천구
가산에스케이,"서울특별시 금천구 가산디지털1로 171 (가산동), SK V1센터 1층1522-3232",금천구
독산사거리,서울특별시 금천구 시흥대로 426 (독산동)1522-3232,금천구
금천시흥,서울특별시 금천구 시흥대로 164 (시흥동)1522-3232,금천구
가산디지털단지역,"서울특별시 금천구 벚꽃로 298 (가산동), 대륭포스트타워 6차 1층1522-3232",금천구
금천독산,서울특별시 금천구 두산로 70 (독산동)1522-3232,금천구
가산디지털,"서울특별시 금천구 가산디지털1로 168 (가산동), 우림라이온스밸리 B동 1층1522-3232",금천구
마리오아울렛,서울특별시 금천구 벚꽃로 266 마리오아울렛3관1522-3232,금천구
가산브이타워,"서울특별시 금천구 가산디지털1로 128 (가산동), V-TOWER 1층1522-3232",금천구
가산그레이트,"서울특별시 금천구 디지털로9길 32, 갑을그레이트밸리 1층 (가산동)1522-3232",금천구
독산역,"서울특별시 금천구 가산디지털1로 16 (가산동), 107-2, 1층1522-3232",금천구
가산퍼블릭,"서울특별시 금천구 디지털로 178 (가산동), B동 F Park 1층1522-3232",금천구
가산현대아울렛,"서울특별시 금천구 디지털로10길 9 (가산동), 1층 일부1522-3232",금천구
가산케이에스,"서울특별시 금천구 벚꽃로36길 30 (가산동), 가산KS타워 1층1522-3232",금천구
가산어반워크,서울특별시 금천구 가산디지털2로 135 (가산동)1522-3232,금천구
월계역,"서울특별시 노원구 초안산로2라길26 월계동(104,105,106호)1522-3232",노원구
월계트레이더스,서울특별시 노원구 마들로3길 15 (월계동)1522-3232,노원구
상계초교사거리,서울특별시 노원구 노원로 449 (상계동)1522-3232,노원구
공릉DT,서울특별시 노원구 동일로 1015 (공릉동)1522-3232,노원구
노원마들역,"서울특별시 노원구 노원로 569 (상계동, 임광아파트)1522-3232",노원구
공릉역,서울특별시 노원구 동일로 1081 (공릉동)1522-3232,노원구
은행사거리,"서울특별시 노원구 중계로 217, 중흥빌딩 103,203호 (중계동)1522-3232",노원구
노원KT,"서울특별시 노원구 노해로 502, (주)KT 노원사옥 (상계동)1522-3232",노원구
광운대,서울특별시 노원구 석계로 104 (월계동)1522-3232,노원구
중계역,"서울특별시 노원구 동일로 1339, 대한빌딩 (상계동)1522-3232",노원구
노원역,서울특별시 노원구 동일로 1413 (상계동) 1층1522-3232,노원구
월계이마트,서울특별시 노원구 마들로3길 15 (월계동)1522-3232,노원구
태릉입구역DT,서울특별시 노원구 화랑로 469 (공릉동)1522-3232,노원구
노원상계,서울특별시 노원구 동일로215길 2 (상계동)1522-3232,노원구
노원구청,서울특별시 노원구 노해로 447 (상계동)1522-3232,노원구
창동이마트,서울특별시 도봉구 노해로65길 4 (창동)1522-3232,도봉구
쌍문역,서울특별시 도봉구 도봉로 480 (창동)1522-3232,도봉구
도봉구청,서울특별시 도봉구 마들로 665 (도봉동)1522-3232,도봉구
쌍문도봉로,서울특별시 도봉구 도봉로 444 (창동)1522-3232,도봉구
도봉로DT,서울특별시 도봉구 도봉로 635 (쌍문동)1522-3232,도봉구
방학역,"서울특별시 도봉구 도봉로 684 (방학동)101,102,113,114,115호1522-3232",도봉구
창동역,서울특별시 도봉구 마들로13길 61 (창동)1522-3232,도봉구
노량진동,"서울특별시 동작구 노량진로 190 (노량진동, 고려교육타워-어바니엘한강) 101호~105호1522-3232",동작구
남성역,서울특별시 동작구 사당로 219 (사당동)1522-3232,동작구
상도역,서울특별시 동작구 상도로37길 1 (상도1동)1522-3232,동작구
보라매공원R,"서울특별시 동작구 보라매로5길 35 (신대방동, 파크스퀘어,보라매현대APT)1522-3232",동작구
이수자이,서울특별시 동작구 사당로 300 (사당동 이수자이)1522-3232,동작구
노량진역,서울특별시 동작구 노량진로 134 (노량진동)1522-3232,동작구
신대방삼거리역,서울특별시 동작구 상도로 102 (상도동)1522-3232,동작구
중앙대,서울특별시 동작구 흑석로 75-1 (흑석동)1522-3232,동작구
숭실대입구역,서울특별시 동작구 상도로 354 (상도동)1522-3232,동작구
숭실대,서울특별시 동작구 사당로 4 (상도동)1522-3232,동작구
사당역,"서울특별시 동작구 동작대로 21, 양지빌딩 1-3층 (사당동)1522-3232",동작구
서강대프라자,서울특별시 마포구 백범로 35 (신수동)1522-3232,마포구
상암YTN,서울특별시 마포구 상암산로 76 (상암동)1522-3232,마포구
마포용강동,서울특별시 마포구 토정로 295 (용강동)1522-3232,마포구
홍대입구역사거리R,서울특별시 마포구 양화로 125 (서교동)1522-3232,마포구
마포경찰서후문,서울특별시 마포구 마포대로 173-14 (아현동)1522-3232,마포구
공덕,서울특별시 마포구 마포대로 130 (공덕동)1522-3232,마포구
합정폴리스R,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)1522-3232",마포구
홍대공항철도역,서울특별시 마포구 양화로 178 (동교동)1522-3232,마포구
마포염리,서울특별시 마포구 독막로 311 (염리동)1522-3232,마포구
서강광흥창역,서울특별시 마포구 서강로 69 (창전동)1522-3232,마포구
합정,"서울특별시 마포구 월드컵로1길 14 (합정동) 마포한강푸르지오 110, 111, 112-21522-3232",마포구
서강대흥역,서울특별시 마포구 백범로 89-5 (대흥동)1522-3232,마포구
서교동사거리,서울특별시 마포구 양화로 105 (서교동)1522-3232,마포구
상암사보이시티,서울특별시 마포구 월드컵북로54길 17 (상암동)1522-3232,마포구
신촌오거리,서울특별시 마포구 신촌로16길 10 (노고산동)1522-3232,마포구
상암디지털큐브,서울특별시 마포구 상암산로 341522-3232,마포구
상수역,서울특별시 마포구 독막로 88 (상수동)1522-3232,마포구
공덕오거리,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩1522-3232,마포구
서강대,서울특별시 마포구 백범로 23 (신수동)1522-3232,마포구
상암MBC,서울특별시 마포구 성암로 267 (상암동)1522-3232,마포구
홍대역,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)1522-3232",마포구
동교,"서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)1522-3232",마포구
애오개역,"서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동)1522-3232",마포구
상암DMC,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)1522-3232",마포구
마포일진빌딩,"서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)1522-3232",마포구
마포아크로,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워1522-3232,마포구
홍대삼거리,서울특별시 마포구 와우산로 64 (상수동)1522-3232,마포구
망원역,서울특별시 마포구 월드컵로 74 (서교동)1522-3232,마포구
마포이마트,서울특별시 마포구 백범로 212 (신공덕동) 마포이마트1522-3232,마포구
합정메세나몰,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)1522-3232",마포구
아현역대로,서울특별시 마포구 신촌로 262 (아현동)1522-3232,마포구
디지털미디어시티역,서울특별시 마포구 성암로 179 (상암동)1522-3232,마포구
홍대역8번출구,서울특별시 마포구 양화로 166 (동교동)1522-3232,마포구
합정푸르지오,"서울특별시 마포구 월드컵로3길 14 (합정동, 마포 한강 2차 푸르지오)1522-3232",마포구
홍대동교,서울특별시 마포구 양화로 192 (동교동)1522-3232,마포구
망원한강공원,서울특별시 마포구 마포나루길 435 (망원동)1522-3232,마포구
마포구청역,서울특별시 마포구 월드컵로 200 (성산동) 1층 일부1522-3232,마포구
가재울뉴타운,"서울특별시 서대문구 가재울미래로 2 (남가좌동, DMC파크뷰자이2단지별동상가1층)1522-3232",서대문구
남가좌사거리,"서울특별시 서대문구 거북골로 84 (남가좌동, DMC에코자이104동)1522-3232",서대문구
신촌역,서울특별시 서대문구 신촌로 73 (창천동)1522-3232,서대문구
연희동,서울특별시 서대문구 연희로 97 (연희동)1522-3232,서대문구
아현역,"서울특별시 서대문구 신촌로35길 10 (북아현동, e편한세상신촌 4단지)1522-3232",서대문구
홍제역,서울특별시 서대문구 통일로 451 (홍제동)1522-3232,서대문구
연세백양로,서울특별시 서대문구 연세로 50 (신촌동) 연세대학교1522-3232,서대문구
연희DT,서울특별시 서대문구 연희로 144 (연희동)1522-3232,서대문구
경기대,서울특별시 서대문구 충정로 53 (충정로2가)1522-3232,서대문구
신촌,서울특별시 서대문구 연세로 10-1 (창천동)1522-3232,서대문구
이대,서울특별시 서대문구 이화여대길 34 (대현동)1522-3232,서대문구
연세종합관,"서울특별시 서대문구 연세로 50, 연세세브란스 종합관 (신촌동)1522-3232",서대문구
이대ECC,서울특별시 서대문구 이화여대길 52 (대현동) 이화여자대학교 B415호1522-3232,서대문구
연대,서울특별시 서대문구 연세로 35 (창천동)1522-3232,서대문구
충정로역,서울특별시 서대문구 충정로 231522-3232,서대문구
연대동문,서울특별시 서대문구 성산로 565 (대신동)1522-3232,서대문구
신촌명물거리,"서울특별시 서대문구 명물길 24, 1-5층 (창천동)1522-3232",서대문구
충정타워,"서울특별시 서대문구 서소문로 21, 충정타워빌딩 1층 (충정로3가)1522-3232",서대문구
이대역,서울특별시 서대문구 신촌로 183 (대현동)1522-3232,서대문구
북가좌DT,서울특별시 서대문구 응암로 85 (북가좌동)1522-3232,서대문구
현대신촌,서울특별시 서대문구 신촌로 83 (창천동)1522-3232,서대문구
방배로,서울특별시 서초구 방배로 52 (방배동)1522-3232,서초구
강남교보타워R,서울특별시 서초구 강남대로 465 (서초동)1522-3232,서초구
방배다이치빌딩,서울특별시 서초구 방배로 114 (방배동)1522-3232,서초구
센트럴F1,서울특별시 서초구 신반포로 176 (반포동)1522-3232,서초구
서초역이화빌딩,서울특별시 서초구 반포대로21길 3 (서초동)1522-3232,서초구
서초구청,서울특별시 서초구 남부순환로 2557 (서초동)1522-3232,서초구
서초우성사거리,서울특별시 서초구 강남대로 343 (서초동)1522-3232,서초구
이수역사거리,"서울특별시 서초구 서초대로 3-4 (방배동, 방배디오슈페리움1)1522-3232",서초구
강남대로신사,서울특별시 서초구 강남대로 595 (잠원동)1522-3232,서초구
서울고속터미널,서울특별시 서초구 신반포로 194 (반포동)1522-3232,서초구
방배,서울특별시 서초구 방배로 2111522-3232,서초구
방배카페거리,서울특별시 서초구 방배중앙로 162 (방배동)1522-3232,서초구
서초법원,서울특별시 서초구 서초대로 274 (서초동)1522-3232,서초구
청계산입구역,서울특별시 서초구 청계산로 203 (신원동)1522-3232,서초구
사당로데오,서울특별시 서초구 방배천로 5-4(방배동)1522-3232,서초구
파미에파크R,서울특별시 서초구 사평대로 205 (반포동) CENTRALCITY1522-3232,서초구
양재역,서울특별시 서초구 강남대로 202 (양재동) 모산빌딩1522-3232,서초구
논현역,서울특별시 서초구 강남대로 557 (잠원동) 1~2층1522-3232,서초구
이수역,서울특별시 서초구 동작대로 112 (방배동)1522-3232,서초구
내방역,서울특별시 서초구 방배로 184 (방배동) 대풍빌딩1522-3232,서초구
서초파라곤,서울특별시 서초구 서초대로74길 29 (서초동) 서초파라곤1522-3232,서초구
서울아트센터,서울특별시 서초구 남부순환로 2395 (서초동) 호경빌딩1522-3232,서초구
서초중앙로,서울특별시 서초구 서초중앙로 2251522-3232,서초구
센트럴시티,서울특별시 서초구 신반포로 176 (반포동)1522-3232,서초구
강남삼성타운,서울특별시 서초구 서초대로78길 24 (서초동)1522-3232,서초구
방배역,서울특별시 서초구 방배로 84 (방배동)1522-3232,서초구
반포역,서울특별시 서초구 신반포로 257 (잠원동) 신반포11차상가1522-3232,서초구
남부터미널,"서울특별시 서초구 서초중앙로 26, 래미안서초유니빌 1층 101호 (서초동)1522-3232",서초구
뉴코아강남,서울특별시 서초구 잠원로 69 (잠원동) 킴스클럽1522-3232,서초구
강남서초초교,"서울특별시 서초구 서초대로77길 27, 유빌딩 1,2층 (서초동)1522-3232",서초구
교대,서울특별시 서초구 서초중앙로 118 (서초동)1522-3232,서초구
하이브랜드,"서울특별시 서초구 매헌로 16, 리빙관 101호 (양재동)1522-3232",서초구
신논현역,서울특별시 서초구 강남대로 483 (반포동) 청호빌딩1522-3232,서초구
영동2교,"서울특별시 서초구 논현로 139, 대흥빌딩 (양재동)1522-3232",서초구
남부터미널역5번출구,서울특별시 서초구 효령로 274 (서초동)1522-3232,서초구
서래마을입구,서울특별시 서초구 서래로 48 (반포동)1522-3232,서초구
몬테소리,서울특별시 서초구 강남대로 399 (서초동)1522-3232,서초구
서초역,서울특별시 서초구 반포대로 118 (서초동)1522-3232,서초구
교대법원,서울특별시 서초구 서초중앙로 164 (서초동)1522-3232,서초구
강남GT타워,"서울특별시 서초구 서초대로 411, GT타워 (서초동)1522-3232",서초구
서초동,"서울특별시 서초구 남부순환로339길 64, 현우빌딩 1층 (서초동)1522-3232",서초구
서울교대,"서울특별시 서초구 서초중앙로 64, 1층 (서초동)1522-3232",서초구
강남에비뉴,"서울특별시 서초구 서초대로77길 62, 강남역아이파크 B102~B105 (서초동)1522-3232",서초구
반포자이,서울특별시 서초구 잠원로 24 (반포동)1522-3232,서초구
서초태우빌딩,서울특별시 서초구 강남대로 285 (서초동)1522-3232,서초구
교대역3번출구,서울특별시 서초구 서초중앙로24길 10 (서초동)1522-3232,서초구
반포원베일리,서울특별시 서초구 반포대로 291 (반포동)1522-3232,서초구
강남역우송빌딩,서울특별시 서초구 서초대로73길 7 (서초동)1522-3232,서초구
서이초교사거리,서울특별시 서초구 사임당로 143 (서초동)1522-3232,서초구
서울웨이브아트센터,서울특별시 서초구 잠원로 145-35 (잠원동)1522-3232,서초구
길음역,서울특별시 성북구 정릉로 376 (돈암동)1522-3232,성북구
미아이마트,서울특별시 성북구 도봉로 17 (길음동)1522-3232,성북구
종암DT,서울특별시 성북구 종암로 17 (종암동)1522-3232,성북구
미아,서울특별시 성북구 동소문로 314 (하월곡동)1522-3232,성북구
성신여대정문,서울특별시 성북구 보문로34길 62 (동선동2가)1522-3232,성북구
종암,서울특별시 성북구 종암로 122 (종암동)1522-3232,성북구
삼선교,서울특별시 성북구 동소문로 10 (동소문동2가)1522-3232,성북구
월곡역,"서울특별시 성북구 화랑로 76, 101-1호 (하월곡동)1522-3232",성북구
고대,서울특별시 성북구 고려대로24길 51 (안암동5가)1522-3232,성북구
현대미아,서울특별시 성북구 동소문로 315 (길음동) 지하1층1522-3232,성북구
성신여대,서울특별시 성북구 동소문로24길 12 (동선동1가)1522-3232,성북구
